,group,website,coder
3909,Washington DC Haunted Houses Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('8918P6','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('8918P6','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11459566-Washington_DC_Haunted_Houses_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '8918P6', '6');",d11459566
3927,Washington DC Haunted Capitol Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('8918P7','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('8918P7','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11459568-Washington_DC_Haunted_Capitol_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '8918P7', '7');",d11459568
3945,DC Sips and Sights Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('36457P2','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('36457P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11890103-DC_Sips_and_Sights_Tour-Washington_DC_District_of_Columbia.html', 'title', '36457P2', '8');",d11890103
3963,Private Washington Christian Heritage Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('25828P11','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('25828P11','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13365670-Private_Washington_Christian_Heritage_Tour-Washington_DC_District_of_Columbia.html', 'title', '25828P11', '9');",d13365670
3981,Private Guided Tour of the National Gallery of Art,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P3','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990516-Private_Guided_Tour_of_the_National_Gallery_of_Art-Washington_DC_District_of_Columbia.html', 'title', '40048P3', '10');",d11990516
4000,Columbia Heights and Adams Morgan Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('33458P7','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('33458P7','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12978923-Columbia_Heights_and_Adams_Morgan_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '33458P7', '11');",d12978923
4019,Washington D.C. Private Tour by Glass-Top Convertible Vehicle,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6349P26','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6349P26','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12649856-Washington_D_C_Private_Tour_by_Glass_Top_Convertible_Vehicle-Washington_DC_District_of_Columbia.html', 'title', '6349P26', '12');",d12649856
4037,Private US Navy Tour in Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('25828P7','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('25828P7','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11481845-Private_US_Navy_Tour_in_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '25828P7', '13');",d11481845
4055,National Cathedral Gargoyle Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('49810P2','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('49810P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12648356-National_Cathedral_Gargoyle_Tour-Washington_DC_District_of_Columbia.html', 'title', '49810P2', '14');",d12648356
4074,Icons of Capitol Hill Photo Safari,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3652P4','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3652P4','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11474028-Icons_of_Capitol_Hill_Photo_Safari-Washington_DC_District_of_Columbia.html', 'title', '3652P4', '15');",d11474028
4092,Viator Exclusive: Washington Monument Reserved Admission with DC...,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6349DCEXCL','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6349DCEXCL','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11453866-Viator_Exclusive_Washington_Monument_Reserved_Admission_with_DC_Landmarks_and_Memorials_Tour-Washington_DC_District_of_Columbia.html', 'title', '6349DCEXCL', '16');",d11453866
4111,Private Narrated Washington DC City Tour in SUV,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('26714P2','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('26714P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11472372-Private_Narrated_Washington_DC_City_Tour_in_SUV-Washington_DC_District_of_Columbia.html', 'title', '26714P2', '17');",d11472372
4129,Monumental Experience by Segway,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('2384P11','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('2384P11','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13429592-Monumental_Experience_by_Segway-Washington_DC_District_of_Columbia.html', 'title', '2384P11', '18');",d13429592
4147,New York to Washington DC Day Trip by Air,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('15081P15','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('15081P15','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g60763-d12464706-New_York_to_Washington_DC_Day_Trip_by_Air-New_York_City_New_York.html', 'title', '15081P15', '19');",d12464706
4165,Two Hour Walking Tour of US Capitol Exterior,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40674P1','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40674P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11484734-Two_Hour_Walking_Tour_of_US_Capitol_Exterior-Washington_DC_District_of_Columbia.html', 'title', '40674P1', '20');",d11484734
4183,Car Service to Ronald Reagan National DCA Airport,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('7953P3','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('7953P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11461637-Car_Service_to_Ronald_Reagan_National_DCA_Airport-Washington_DC_District_of_Columbia.html', 'title', '7953P3', '21');",d11461637
4201,Arlington Cemetery and DC Highlights Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6349P14','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6349P14','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11472060-Arlington_Cemetery_and_DC_Highlights_Tour-Washington_DC_District_of_Columbia.html', 'title', '6349P14', '22');",d11472060
4220,Private Motorcycle Sightseeing Tour of Uptown Manhattan,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('8196P4','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('8196P4','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g60763-d13131162-Private_Motorcycle_Sightseeing_Tour_of_Uptown_Manhattan-New_York_City_New_York.html', 'title', '8196P4', '23');",d13131162
4238,Washington DC National Archives Building and Capitol Hill Small Group...,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P31','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P31','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13003958-Washington_DC_National_Archives_Building_and_Capitol_Hill_Small_Group_Tour-Washington_DC_District_of_Columbia.html', 'title', '40048P31', '24');",d13003958
4257,Private Wine Country Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('7953P6','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('7953P6','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12086351-Private_Wine_Country_Tour-Washington_DC_District_of_Columbia.html', 'title', '7953P6', '25');",d12086351
4275,Private Guided Tour of Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6766P12','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6766P12','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11963939-Private_Guided_Tour_of_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '6766P12', '26');",d11963939
4292,Private Civil War Tour of Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('25828P2','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('25828P2','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11481972-Private_Civil_War_Tour_of_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '25828P2', '27');",d11481972
4310,Escape the Oval Office,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('24852P1','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('24852P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11470726-Escape_the_Oval_Office-Washington_DC_District_of_Columbia.html', 'title', '24852P1', '28');",d11470726
4328,Adams Morgan Food Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('39348P16','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('39348P16','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13198458-Adams_Morgan_Food_Tour-Washington_DC_District_of_Columbia.html', 'title', '39348P16', '29');",d13198458
